accident_date,gender,age
1.53E+12,Male,26
1.55E+12,Male,31
1.43E+12,Male,27
1.51E+12,Male,46
1.52E+12,Male,41
1.50E+12,Female,95
1.50E+12,Female,91
1.55E+12,Male,20
1.55E+12,Male,84
1.49E+12,Male,51
1.52E+12,Male,68
1.48E+12,Female,48
1.46E+12,Male,24
1.51E+12,Female,87
1.42E+12,Male,34
1.52E+12,Male,89
1.53E+12,Male,30
1.45E+12,Male,15
1.52E+12,Female,69
1.51E+12,Male,55
1.52E+12,Male,30
1.51E+12,Male,84
1.39E+12,Male,22
1.47E+12,Female,72
1.42E+12,Female,29
1.42E+12,Male,3
1.42E+12,Male,39
1.50E+12,Male,52
1.51E+12,Male,97
1.55E+12,Male,39
1.44E+12,Male,60
1.50E+12,Female,80
1.55E+12,Male,40
1.48E+12,Male,40
1.48E+12,Male,32
1.49E+12,Male,65
1.44E+12,Male,57
1.49E+12,Male,26
1.45E+12,Male,15
1.49E+12,Female,69
1.54E+12,Female,20
1.54E+12,Male,20
1.41E+12,Male,23
1.45E+12,Male,82
1.47E+12,Male,43
1.39E+12,Male,59
1.55E+12,Male,53
1.55E+12,Female,27
1.51E+12,Male,37
1.47E+12,Female,18
1.55E+12,Male,20
1.55E+12,Female,86
1.54E+12,Male,25
1.50E+12,Female,50
1.54E+12,Female,28
1.55E+12,Female,34
1.51E+12,Male,60
1.55E+12,Male,86
1.45E+12,Male,31
1.52E+12,Male,52
1.50E+12,Male,36
1.46E+12,Female,61
1.47E+12,Female,57
1.53E+12,Male,23
1.48E+12,Male,45
1.50E+12,Male,37
1.51E+12,Male,35
1.55E+12,Male,61
1.47E+12,Male,41
1.46E+12,Female,87
1.55E+12,Male,20
1.55E+12,Male,52
1.50E+12,Female,14
1.50E+12,Female,44
1.53E+12,Male,34
1.52E+12,Female,56
1.40E+12,Female,16
1.53E+12,Male,12
1.45E+12,Male,32
1.50E+12,Male,80
1.54E+12,Male,65
1.49E+12,Male,19
1.49E+12,Male,19
1.55E+12,Female,49
1.53E+12,Male,19
1.43E+12,Female,27
1.45E+12,Male,28
