latitude,longitude,geometry,accident_date,gender,age,road_user_type,road_user_type_desc,accident_type,accident_type_desc,num_of_vehicles,lga_name,stat_div_name,node_type_desc,road_type,location_count
-37.78065516,144.9156308,Point,1540000000000,Female,86,3,Passengers,7,Fall from or in moving vehicle,1,MOONEE VALLEY,Melbourne - Inner,Non Intersection,Local Roads,1
-37.78085892,144.8628719,Point,1530000000000,Male,24,1,Pedestrians,2,Struck Pedestrian,1,MARIBYRNONG,Melbourne - West,Non Intersection,Main Roads,1
-38.22394278,145.6735812,Point,1500000000000,Male,53,6,Bicyclists,1,Collision with vehicle,2,CARDINIA,Melbourne - South East,Non Intersection,Local Roads,1
-37.69277845,144.7972115,Point,1490000000000,Male,30,4,Motorcyclists,1,Collision with vehicle,5,BRIMBANK,Melbourne - West,Non Intersection,Freeway & State Highways,1
-38.21223877,144.21132,Point,1520000000000,Male,54,4,Motorcyclists,1,Collision with vehicle,2,SURF COAST,Country,Non Intersection,Freeway & State Highways,1
-37.82540937,145.0348318,Point,1500000000000,Female,79,1,Pedestrians,2,Struck Pedestrian,1,BOROONDARA,Melbourne - Inner East,Intersection,Main Roads,1
-38.11566759,144.6582405,Point,1480000000000,Male,44,4,Motorcyclists,1,Collision with vehicle,2,GEELONG,Country,Non Intersection,Local Roads,1
-38.02458948,145.3224509,Point,1490000000000,Male,27,2,Drivers,4,Collision with a fixed object,1,CASEY,Melbourne - South East,Non Intersection,Local Roads,1
-37.62598649,145.5166358,Point,1540000000000,Male,62,2,Drivers,1,Collision with vehicle,2,YARRA RANGES,Melbourne - Outer East,Non Intersection,Local Roads,1
-36.19910079,145.0055607,Point,1500000000000,Female,61,3,Passengers,1,Collision with vehicle,2,CAMPASPE,Country,Intersection,Freeway & State Highways,2
-36.19910079,145.0055607,Point,1500000000000,Male,69,2,Drivers,1,Collision with vehicle,2,CAMPASPE,Country,Intersection,Freeway & State Highways,2
-37.93750204,145.1173304,Point,1540000000000,Female,80,3,Passengers,1,Collision with vehicle,2,KINGSTON,Melbourne - South East,Non Intersection,Main Roads,1
-38.40580073,142.5434349,Point,1540000000000,Male,36,2,Drivers,4,Collision with a fixed object,1,WARRNAMBOOL,Country,Unknown,Unknown,1
-37.83445973,144.6910556,Point,1430000000000,Female,74,3,Passengers,1,Collision with vehicle,2,WYNDHAM,Melbourne - West,Intersection,Main Roads,1
-38.31184318,143.7073001,Point,1520000000000,Male,54,4,Motorcyclists,1,Collision with vehicle,3,COLAC OTWAY,Country,Non Intersection,Freeway & State Highways,1
-37.90152796,146.8850054,Point,1520000000000,Male,19,2,Drivers,4,Collision with a fixed object,1,WELLINGTON,Country,Non Intersection,Local Roads,1
-37.56060037,144.191599,Point,1480000000000,Male,25,2,Drivers,1,Collision with vehicle,2,MOORABOOL,Ballarat,Non Intersection,Main Roads,1
-36.67889987,144.321319,Point,1470000000000,Female,45,1,Pedestrians,2,Struck Pedestrian,1,BENDIGO,Bendigo,Non Intersection,Freeway & State Highways,1
-37.55133708,144.8054861,Point,1540000000000,Male,38,2,Drivers,1,Collision with vehicle,2,HUME,Melbourne - North West,Non Intersection,Local Roads,1
-38.29057963,144.048577,Point,1440000000000,Male,18,2,Drivers,4,Collision with a fixed object,1,SURF COAST,Country,Non Intersection,Local Roads,1
-37.1529886,147.6520734,Point,1500000000000,Male,31,2,Drivers,4,Collision with a fixed object,1,EAST GIPPSLAND,Country,Non Intersection,Tourist Roads,1
-37.90623889,146.9098686,Point,1510000000000,Female,70,3,Passengers,1,Collision with vehicle,2,WELLINGTON,Country,Intersection,Local Roads,2
-37.90623889,146.9098686,Point,1510000000000,Male,72,2,Drivers,1,Collision with vehicle,2,WELLINGTON,Country,Intersection,Local Roads,2
-37.88882432,145.1635792,Point,1510000000000,Male,49,2,Drivers,1,Collision with vehicle,4,MONASH,Melbourne - South East,Non Intersection,Main Roads,1
-36.83708464,143.527179,Point,1390000000000,Female,84,2,Drivers,4,Collision with a fixed object,1,CENTRAL GOLDFIELDS,Ballarat,Non Intersection,Local Roads,1
-37.70884126,145.0089371,Point,1440000000000,Female,88,3,Passengers,1,Collision with vehicle,5,DAREBIN,Melbourne - North East,Intersection,Main Roads,1
-35.99909873,145.6379383,Point,1420000000000,Male,65,2,Drivers,1,Collision with vehicle,2,MOIRA,Country,Intersection,Main Roads,1
-37.90135586,145.019185,Point,1470000000000,Male,44,1,Pedestrians,2,Struck Pedestrian,1,GLEN EIRA,Melbourne - Inner South,Intersection,Freeway & State Highways,1
-37.71075652,145.1172376,Point,1490000000000,Male,83,2,Drivers,4,Collision with a fixed object,2,BANYULE,Melbourne - North East,Non Intersection,Local Roads,1
-37.89146319,144.215809,Point,1550000000000,Female,77,3,Passengers,1,Collision with vehicle,2,GOLDEN PLAINS,Country,Non Intersection,Local Roads,1
-38.02584997,145.2130998,Point,1440000000000,Male,42,1,Pedestrians,2,Struck Pedestrian,1,DANDENONG,Melbourne - South East,Non Intersection,Freeway & State Highways,1
-37.54650509,143.7375758,Point,1430000000000,Male,56,4,Motorcyclists,1,Collision with vehicle,2,BALLARAT,Ballarat,Intersection,Local Roads,1
-37.84791186,145.2287487,Point,1470000000000,Female,60,1,Pedestrians,1,Collision with vehicle,2,KNOX,Melbourne - Outer East,Intersection,Main Roads,1
-37.75935603,144.7708307,Point,1460000000000,Female,65,1,Pedestrians,2,Struck Pedestrian,1,BRIMBANK,Melbourne - West,Non Intersection,Local Roads,1
-37.77891278,145.1450635,Point,1540000000000,Female,8,1,Pedestrians,2,Struck Pedestrian,1,MANNINGHAM,Melbourne - Inner East,Non Intersection,Main Roads,1
